combination,count,percentage
W+G,797,26.156875615359372
None,652,21.398096488349196
W,532,17.459796521168364
G,395,12.963570725303578
W+T+G,381,12.504102395799146
W+T,117,3.839842468001313
T+G,104,3.413193304890056
T,69,2.2645224811289792
