Glucose,Triglycerides,Waist,Observed,Expected,Obs/Exp_Ratio
Elevated,Elevated,Elevated,381,221.43650676110366,1.7205835007641315
Normal,Normal,Normal,652,427.7420295040753,1.5242832245312197
Elevated,Normal,Elevated,797,784.1030403343999,1.0164480419054363
Normal,Normal,Elevated,532,640.5612195933978,0.8305217108486398
Elevated,Normal,Normal,395,523.593710568127,0.7544017279569765
Elevated,Elevated,Normal,104,147.8667423363692,0.7033359791170581
Normal,Elevated,Elevated,117,180.89923331109847,0.6467689102849384
Normal,Elevated,Normal,69,120.79751759142866,0.5712037910694283
