Category,Count,Percentage
No Risk,652,21.398096488349196
Pure Waist,532,17.459796521168364
Pure Triglycerides,69,2.2645224811289792
Pure Glucose,395,12.963570725303578
Waist+Triglycerides,117,3.839842468001313
Waist+Glucose,797,26.156875615359372
Triglycerides+Glucose,104,3.413193304890056
All Three (Full MetS),381,12.504102395799146
