sex_label,Mean_Score,Full_MetS_%,Partial_MetS_%,Waist_%,Trig_%,Glucose_%,N
Female,1.374,12.8,46.1,69.9,19.8,47.7,1663
Male,1.366,12.1,45.7,48.0,24.7,63.9,1384
